Id	ENG Description	FRA Description	nonsport	Sport	Eventorder	scheduled
AF	Olympic Arts Festival	Festival olympique des arts	Y		DATE	Y
AQ	Aquatics Sport	Natation	N		DATE	N
AR	Archery	Tir à l'arc	N	AR	DATE	Y
AT	Athletics	Athlétisme	N	AT	DATE	Y
BD	Badminton	Badminton	N	BD	DATE	Y
BK	Basketball	Basketball	N	BK	DATE	Y
BV	Beach Volleyball	Volleyball de plage	N	VB	DATE	Y
BX	Boxing	Boxe	N	BX	DATE	Y
CA	Canoe Sport	Canoë-kayak	N		DATE	N
CB	Cycling BMX	BMX	N	CY	DATE	Y
CE	Ceremonies	Cérémonies	Y		DATE	Y
CF	Canoe Sprint	Canoë-kayak, course en ligne	N	CA	DATE	Y
CM	Cycling Mountain Bike	Cyclisme Mountain Bike	N	CY	DATE	Y
CR	Cycling Road	Cyclisme sur route	N	CY	DATE	Y
CS	Canoe Slalom	Canoë-kayak, slalom	N	CA	DATE	Y
CT	Cycling Track	Cyclisme sur piste	N	CY	DATE	Y
CY	Cycling Sport	Cyclisme	N		DATE	N
DV	Diving	Plongeon	N	AQ	DATE	Y
EQ	Equestrian	Sports équestres	N	EQ	DATE	Y
FB	Football	Football	N	FB	DATE	Y
FE	Fencing	Escrime	N	FE	DATE	Y
GA	Gymnastics Artistic	Gymnastique artistique	N	GY	DATE	Y
GL	General	Général	Y		DATE	N
GR	Gymnastics Rhythmic	Gymnastique rythmique	N	GY	DATE	Y
GT	Trampoline	Trampoline	N	GY	DATE	Y
GY	Gymnastic Sport	Gymnastique	N		DATE	N
HB	Handball	Handball	N	HB	DATE	Y
HO	Hockey	Hockey	N	HO	DATE	Y
IA	IOC Activities	Activités du CIO	Y		DATE	Y
JU	Judo	Judo	N	JU	DATE	Y
MP	Modern Pentathlon	Pentathlon moderne	N	MP	DATE	Y
OV	Olympic Village	Village Olympique	Y		DATE	Y
PC	Press Conferences	Conférence de presse	Y		DATE	Y
RO	Rowing	Aviron	N	RO	DATE	Y
SA	Sailing	Voile	N	SA	DATE	Y
SH	Shooting	Tir	N	SH	DATE	Y
SW	Swimming	Natation	N	AQ	DATE	Y
SY	Synchronised Swimming	Natation synchronisée	N	AQ	DATE	Y
TE	Tennis	Tennis	N	TE	LOC	Y
TK	Taekwondo	Taekwondo	N	TK	DATE	Y
TR	Triathlon	Triathlon	N	TR	DATE	Y
TT	Table Tennis	Tennis de table	N	TT	DATE	Y
UT	Training (Unofficial)	Entraînement (non officiel)	Y		DATE	Y
VB	Volleyball Sport	Volleyball	N		DATE	N
VO	Volleyball	Volleyball	N	VB	DATE	Y
WL	Weightlifting	Haltérophilie	N	WL	DATE	Y
WP	Water Polo	Water-polo	N	AQ	DATE	Y
WR	Wrestling	Lutte	N	WR	LOC	Y
