Discipline	Gender	Event	order	ENG Description	FRA Description	Team Event
AF	0	CMD		Comedy	Comedy	
AF	0	CRC		Circus / Street Arts	Circus / Street Arts	
AF	0	CUL		Culture Activities	Activités culturelles	
AF	0	DGT		Digital / Film / Video	Digital / Film / Video	
AF	0	DNC		Dance	Dance	
AF	0	LTR		Literary Arts	Literary Arts	
AF	0	MSC		Music	Music	
AF	0	SPO		Sponsor Activities	Activités des partenaires	
AF	0	THT		Theatre	Theatre	
AF	0	VSL		Visual Arts	Visual Arts	
AQ	0	000		Aquatics Sport	Natation	
AR	0	000		Archery	Tir à l'arc	
AR	0	070		Archery Individual	Tir à l'arc, épreuve individuelle	
AR	0	470		Archery Team	Tir à l'arc, épreuve par équipes	N
AR	0	LCG		Lord's Cricket Ground	Lord's Cricket Ground	
AR	M	000		Men	Hommes	
AR	M	070	1	Men's Individual	Épreuve individuelle - hommes	N
AR	M	470	3	Men's Team	Épreuve par équipes - hommes	Y
AR	W	000		Women	Femmes	
AR	W	070	2	Women's Individual	Épreuve individuelle - femmes	N
AR	W	470	4	Women's Team	Épreuve par équipes - femmes	Y
AT	0	000		Athletics	Athlétisme	
AT	0	MLL		The Mall	The Mall	
AT	0	STA		Olympic Stadium	Stade olympique	
AT	M	000		Men	Hommes	
AT	M	001	1	Men's 100m	100 m - hommes	
AT	M	002	2	Men's 200m	200 m - hommes	
AT	M	004	3	Men's 400m	400 m - hommes	
AT	M	008	4	Men's 800m	800 m - hommes	
AT	M	012	10	Men's 110m Hurdles	110 m haies - hommes	
AT	M	015	5	Men's 1500m	1 500 m - hommes	
AT	M	033	9	Men's 3000m Steeplechase	3 000 m steeple - hommes	
AT	M	044	11	Men's 400m Hurdles	400 m haies - hommes	
AT	M	050	6	Men's 5000m	5 000 m - hommes	
AT	M	051	16	Men's Shot Put	Lancer de poids - hommes	
AT	M	052	17	Men's Discus Throw	Lancer de disque - hommes	
AT	M	053	19	Men's Javelin Throw	Lancer de javelot - hommes	
AT	M	054	18	Men's Hammer Throw	Lancer de marteau - hommes	
AT	M	061	14	Men's Long Jump	Saut en longueur - hommes	
AT	M	062	15	Men's Triple Jump	Triple saut - hommes	
AT	M	071	12	Men's High Jump	Saut en hauteur - hommes	
AT	M	072	13	Men's Pole Vault	Saut à la perche - hommes	
AT	M	092	21	Men's 20km Walk	20 km marche - hommes	
AT	M	095	22	Men's 50km Walk	50 km marche - hommes	
AT	M	099	8	Men's Marathon	Marathon - hommes	
AT	M	100	7	Men's 10,000m	10 000 m - hommes	
AT	M	401	23	Men's 4 x 100m Relay	Relais 4 x 100 m - hommes	Y
AT	M	404	24	Men's 4 x 400m Relay	Relais 4 x 400 m - hommes	Y
AT	M	900	20	Men's Decathlon	Décathlon - hommes	
AT	W	000		Women	Femmes	
AT	W	001	26	Women's 100m	100 m - femmes	
AT	W	002	27	Women's 200m	200 m - femmes	
AT	W	004	28	Women's 400m	400 m - femmes	
AT	W	008	29	Women's 800m	800 m - femmes	
AT	W	011	35	Women's 100m Hurdles	100 m haies - femmes	
AT	W	015	30	Women's 1500m	1 500 m - femmes	
AT	W	033	34	Women's 3000m Steeplechase	3 000 m steeple - femmes	
AT	W	044	36	Women's 400m Hurdles	400 m haies - femmes	
AT	W	050	31	Women's 5000m	5 000 m - femmes	
AT	W	051	41	Women's Shot Put	Lancer de poids - femmes	
AT	W	052	42	Women's Discus Throw	Lancer de disque - femmes	
AT	W	053	44	Women's Javelin Throw	Lancer de javelot - femmes	
AT	W	054	43	Women's Hammer Throw	Lancer de marteau - femmes	
AT	W	061	39	Women's Long Jump	Saut en longueur - femmes	
AT	W	062	40	Women's Triple Jump	Triple saut - femmes	
AT	W	071	37	Women's High Jump	Saut en hauteur - femmes	
AT	W	072	38	Women's Pole Vault	Saut à la perche - femmes	
AT	W	092	46	Women's 20km Walk	20 km marche - femmes	
AT	W	099	33	Women's Marathon	Marathon - femmes	
AT	W	100	32	Women's 10,000m	10 000 m - femmes	
AT	W	401	47	Women's 4 x 100m Relay	Relais 4 x 100 m - femmes	Y
AT	W	404	48	Women's 4 x 400m Relay	Relais 4 x 400 m - femmes	Y
AT	W	700	45	Women's Heptathlon	Heptathlon - femmes	
BD	0	000		Badminton	Badminton	
BD	0	WEA		Wembley Arena	Wembley Arena	
BD	M	000		Men	hommes	
BD	M	001	1	Men's Singles	Simple hommes	
BD	M	002	3	Men's Doubles	Double hommes	
BD	W	000		Women	Femmes	
BD	W	001	2	Women's Singles	Simple femmes	
BD	W	002	4	Women's Doubles	Double femmes	
BD	X	002	5	Mixed Doubles	Double mixte	
BK	0	000		Basketball	Basketball	
BK	0	BBA		Basketball Arena	Pavillon de basketball	
BK	0	NGA		North Greenwich Arena	North Greenwich Arena	
BK	M	000		Men	Hommes	
BK	M	400	1	Men	Hommes	Y
BK	W	000		Women	Femmes	
BK	W	400	2	Women	Femmes	Y
BV	0	000		Beach Volleyball	Volleyball de plage	
BV	0	HGP		Horse Guards Parade	Horse Guards Parade	
BV	M	000		Men	Hommes	
BV	M	400	1	Men	Hommes	Y
BV	W	000		Women	Femmes	
BV	W	400	2	Women	Femmes	Y
BX	0	000		Boxing	Boxe	
BX	0	ES2		ExCeL - South Arena 2	ExCeL - South Arena 2	
BX	M	000		Boxing	Boxe	
BX	M	049	1	Men's Light Fly (49kg)	49 kg (poids mi-mouche) - hommes	
BX	M	052	2	Men's Fly (52kg)	52 kg (poids mouche) - hommes	
BX	M	056	3	Men's Bantam (56kg)	56 kg (poids coq) - hommes	
BX	M	060	4	Men's Light (60kg)	60 kg (poids léger) - hommes	
BX	M	064	5	Men's Light Welter (64kg)	64 kg (poids super léger) - hommes	
BX	M	069	6	Men's Welter (69kg)	69 kg (poids mi-moyen) - hommes	
BX	M	075	7	Men's Middle (75kg)	75 kg (poids moyen) - hommes	
BX	M	081	8	Men's Light Heavy (81kg)	81 kg (poids mi-lourd) - hommes	
BX	M	091	9	Men's Heavy (91kg)	91 kg (poids lourd) - hommes	
BX	M	191	10	Men's Super Heavy (+91kg)	+91 kg (poids super-lourd) - hommes	
BX	W	000		Boxing	Boxe	
BX	W	051	11	Women's Fly (51kg)	51 kg (poids mouche) - femmes	
BX	W	060	12	Women's Light (60kg)	60 kg (poids léger) - femmes	
BX	W	075	13	Women's Middle (75kg)	75 kg (poids moyen) - femmes	
CA	0	000		Canoe	Canoë-Kayak	
CB	0	000		BMX	BMX	
CB	0	001		BMX	BMX	
CB	0	BMX		BMX Track	Piste de BMX	
CB	M	000		Men	Hommes	
CB	M	001	1	Men BMX	BMX - hommes	
CB	W	000		Women	Femmes	
CB	W	001	2	Women BMX	BMX - femmes	
CE	0	CLO		Closing Ceremony	Cérémonie de clôture	
CE	0	OPN		Opening Ceremony	Cérémonie d'ouverture	
CE	0	SPE		Special Ceremonies	Cérémonies spéciales	
CF	0	000		Canoe Sprint	Canoë-kayak, course en ligne	
CF	0	ETD		Eton Dorney	Eton Dorney	
CF	M	000		Canoe Sprint Men	Canoë-kayak, course en ligne - hommes	
CF	M	111	1	Kayak Single (K1) 1000m Men	Kayak monoplace (K1) 1 000 m - hommes	N
CF	M	112	2	Kayak Single (K1) 200m Men	Kayak monoplace (K1) 200 m - hommes	N
CF	M	121	3	Kayak Double (K2) 1000m Men	Kayak biplace (K2) 1 000 m - hommes	
CF	M	122	4	Kayak Double (K2) 200m Men	Kayak biplace (K2) 200 m - hommes	
CF	M	141	5	Kayak Four (K4) 1000m Men	Kayak à quatre (K4) 1 000 m - hommes	
CF	M	211	6	Canoe Single (C1) 1000m Men	Canoë monoplace (C1) 1 000 m - hommes	N
CF	M	212	7	Canoe Single (C1) 200m Men	Canoë monoplace (C1) 200 m - hommes	N
CF	M	221	8	Canoe Double (C2) 1000m Men	Canoë biplace (C2) 1 000 m - hommes	
CF	W	000		Canoe Sprint Women	Canoë-kayak, course en ligne - femmes	
CF	W	112	12	Kayak Single (K1) 200m Women	Kayak monoplace (K1) 200 m - femmes	N
CF	W	115	9	Kayak Single (K1) 500m Women	Kayak monoplace (K1) 500 m - femmes	N
CF	W	125	10	Kayak Double (K2) 500m Women	Kayak biplace (K2) 500 m - femmes	
CF	W	145	11	Kayak Four (K4) 500m Women	Kayak à quatre (K4) 500 m - femmes	
CM	0	000		Cycling Mountain Bike	Cyclisme Mountaibike	
CM	0	HAD		Hadleigh Farm	Hadleigh Farm	
